Task ID,Task Name,Task Category,Task Description,Task Check,Task Virtual Reward,Task Real Reward
35,Social Task 35: Educate others on the benefits...,Social,Educate others on the benefits of space colonization.,Record a short video explaining your vision.,"135 XP, 25 coins",None
36,Engineering Task 36: Build a working model of a clo...,Engineering,Build a working model of a closed-loop life support system.,Submit a video demonstration of your model.,"136 XP, 26 coins",None
37,Fitness Task 37: Train your body to endure long...,Fitness,Train your body to endure long-duration spaceflight.,Log 30 minutes of endurance training.,"137 XP, 27 coins",None
38,Innovation Task 38: Invent a new tool or system to...,Innovation,Invent a new tool or system to improve daily life.,Submit a prototype or concept document.,"138 XP, 28 coins",None
39,Exploration Task 39: Map out a theoretical interste...,Exploration,Map out a theoretical interstellar trade route.,Submit a visual map with reasoning for trade stops.,"139 XP, 29 coins",None
40,Governance Task 40: Draft a constitution for the f...,Governance,Draft a constitution for the first human colony beyond Earth.,Share a written draft for peer review.,"140 XP, 20 coins","Exclusive knowledge, priority access to research"
41,Engineering Task 41: Build a working model of a clo...,Engineering,Build a working model of a closed-loop life support system.,Submit a video demonstration of your model.,"141 XP, 21 coins",None
42,Creative Task 42: Design a futuristic city on Ma...,Creative,Design a futuristic city on Mars.,Upload a digital or physical sketch of your design.,"142 XP, 22 coins",None
43,Social Task 43: Educate others on the benefits...,Social,Educate others on the benefits of space colonization.,Record a short video explaining your vision.,"143 XP, 23 coins",None
44,Governance Task 44: Draft a constitution for the f...,Governance,Draft a constitution for the first human colony beyond Earth.,Share a written draft for peer review.,"144 XP, 24 coins",None
45,Creative Task 45: Design a futuristic city on Ma...,Creative,Design a futuristic city on Mars.,Upload a digital or physical sketch of your design.,"145 XP, 25 coins",None
46,Creative Task 46: Design a futuristic city on Ma...,Creative,Design a futuristic city on Mars.,Upload a digital or physical sketch of your design.,"146 XP, 26 coins",None
47,Innovation Task 47: Invent a new tool or system to...,Innovation,Invent a new tool or system to improve daily life.,Submit a prototype or concept document.,"147 XP, 27 coins",None
48,Spiritual Task 48: Meditate on humanity’s future ...,Spiritual,Meditate on humanity’s future among the stars.,Write a short reflection on your experience.,"148 XP, 28 coins",None
49,Innovation Task 49: Invent a new tool or system to...,Innovation,Invent a new tool or system to improve daily life.,Submit a prototype or concept document.,"149 XP, 29 coins",None
50,Creative Task 50: Design a futuristic city on Ma...,Creative,Design a futuristic city on Mars.,Upload a digital or physical sketch of your design.,"150 XP, 20 coins",None
51,Engineering Task 51: Build a working model of a clo...,Engineering,Build a working model of a closed-loop life support system.,Submit a video demonstration of your model.,"151 XP, 21 coins",None
52,Exploration Task 52: Map out a theoretical interste...,Exploration,Map out a theoretical interstellar trade route.,Submit a visual map with reasoning for trade stops.,"152 XP, 22 coins",None
53,Creative Task 53: Design a futuristic city on Ma...,Creative,Design a futuristic city on Mars.,Upload a digital or physical sketch of your design.,"153 XP, 23 coins",None
54,Survival Task 54: Practice growing food in a con...,Survival,Practice growing food in a controlled environment.,Show proof of a successfully grown plant.,"154 XP, 24 coins",None
55,Survival Task 55: Practice growing food in a con...,Survival,Practice growing food in a controlled environment.,Show proof of a successfully grown plant.,"155 XP, 25 coins",None
56,Social Task 56: Educate others on the benefits...,Social,Educate others on the benefits of space colonization.,Record a short video explaining your vision.,"156 XP, 26 coins",None
57,Fitness Task 57: Train your body to endure long...,Fitness,Train your body to endure long-duration spaceflight.,Log 30 minutes of endurance training.,"157 XP, 27 coins",None
58,Education Task 58: Learn about orbital mechanics ...,Education,Learn about orbital mechanics and space travel.,Pass an online quiz on orbital mechanics.,"158 XP, 28 coins",None
59,Innovation Task 59: Invent a new tool or system to...,Innovation,Invent a new tool or system to improve daily life.,Submit a prototype or concept document.,"159 XP, 29 coins",None
60,Innovation Task 60: Invent a new tool or system to...,Innovation,Invent a new tool or system to improve daily life.,Submit a prototype or concept document.,"160 XP, 20 coins","Exclusive knowledge, priority access to research"
61,Innovation Task 61: Invent a new tool or system to...,Innovation,Invent a new tool or system to improve daily life.,Submit a prototype or concept document.,"161 XP, 21 coins",None
62,Exploration Task 62: Map out a theoretical interste...,Exploration,Map out a theoretical interstellar trade route.,Submit a visual map with reasoning for trade stops.,"162 XP, 22 coins",None
63,Social Task 63: Educate others on the benefits...,Social,Educate others on the benefits of space colonization.,Record a short video explaining your vision.,"163 XP, 23 coins",None
64,Creative Task 64: Design a futuristic city on Ma...,Creative,Design a futuristic city on Mars.,Upload a digital or physical sketch of your design.,"164 XP, 24 coins",None
65,Creative Task 65: Design a futuristic city on Ma...,Creative,Design a futuristic city on Mars.,Upload a digital or physical sketch of your design.,"165 XP, 25 coins",None
66,Creative Task 66: Design a futuristic city on Ma...,Creative,Design a futuristic city on Mars.,Upload a digital or physical sketch of your design.,"166 XP, 26 coins",None
67,Fitness Task 67: Train your body to endure long...,Fitness,Train your body to endure long-duration spaceflight.,Log 30 minutes of endurance training.,"167 XP, 27 coins",None
68,Governance Task 68: Draft a constitution for the f...,Governance,Draft a constitution for the first human colony beyond Earth.,Share a written draft for peer review.,"168 XP, 28 coins",None
69,Exploration Task 69: Map out a theoretical interste...,Exploration,Map out a theoretical interstellar trade route.,Submit a visual map with reasoning for trade stops.,"169 XP, 29 coins",None
70,Education Task 70: Learn about orbital mechanics ...,Education,Learn about orbital mechanics and space travel.,Pass an online quiz on orbital mechanics.,"170 XP, 20 coins",None
71,Engineering Task 71: Build a working model of a clo...,Engineering,Build a working model of a closed-loop life support system.,Submit a video demonstration of your model.,"171 XP, 21 coins",None
72,Exploration Task 72: Map out a theoretical interste...,Exploration,Map out a theoretical interstellar trade route.,Submit a visual map with reasoning for trade stops.,"172 XP, 22 coins",None
73,Fitness Task 73: Train your body to endure long...,Fitness,Train your body to endure long-duration spaceflight.,Log 30 minutes of endurance training.,"173 XP, 23 coins",None
74,Innovation Task 74: Invent a new tool or system to...,Innovation,Invent a new tool or system to improve daily life.,Submit a prototype or concept document.,"174 XP, 24 coins",None
75,Education Task 75: Learn about orbital mechanics ...,Education,Learn about orbital mechanics and space travel.,Pass an online quiz on orbital mechanics.,"100 XP, 25 coins",None
76,Survival Task 76: Practice growing food in a con...,Survival,Practice growing food in a controlled environment.,Show proof of a successfully grown plant.,"101 XP, 26 coins",None
77,Survival Task 77: Practice growing food in a con...,Survival,Practice growing food in a controlled environment.,Show proof of a successfully grown plant.,"102 XP, 27 coins",None
78,Survival Task 78: Practice growing food in a con...,Survival,Practice growing food in a controlled environment.,Show proof of a successfully grown plant.,"103 XP, 28 coins",None
79,Social Task 79: Educate others on the benefits...,Social,Educate others on the benefits of space colonization.,Record a short video explaining your vision.,"104 XP, 29 coins",None
80,Innovation Task 80: Invent a new tool or system to...,Innovation,Invent a new tool or system to improve daily life.,Submit a prototype or concept document.,"105 XP, 20 coins","Exclusive knowledge, priority access to research"
81,Education Task 81: Learn about orbital mechanics ...,Education,Learn about orbital mechanics and space travel.,Pass an online quiz on orbital mechanics.,"106 XP, 21 coins",None
82,Survival Task 82: Practice growing food in a con...,Survival,Practice growing food in a controlled environment.,Show proof of a successfully grown plant.,"107 XP, 22 coins",None
83,Survival Task 83: Practice growing food in a con...,Survival,Practice growing food in a controlled environment.,Show proof of a successfully grown plant.,"108 XP, 23 coins",None
84,Survival Task 84: Practice growing food in a con...,Survival,Practice growing food in a controlled environment.,Show proof of a successfully grown plant.,"109 XP, 24 coins",None
85,Fitness Task 85: Train your body to endure long...,Fitness,Train your body to endure long-duration spaceflight.,Log 30 minutes of endurance training.,"110 XP, 25 coins",None
86,Social Task 86: Educate others on the benefits...,Social,Educate others on the benefits of space colonization.,Record a short video explaining your vision.,"111 XP, 26 coins",None
87,Fitness Task 87: Train your body to endure long...,Fitness,Train your body to endure long-duration spaceflight.,Log 30 minutes of endurance training.,"112 XP, 27 coins",None
88,Fitness Task 88: Train your body to endure long...,Fitness,Train your body to endure long-duration spaceflight.,Log 30 minutes of endurance training.,"113 XP, 28 coins",None
89,Innovation Task 89: Invent a new tool or system to...,Innovation,Invent a new tool or system to improve daily life.,Submit a prototype or concept document.,"114 XP, 29 coins",None
90,Spiritual Task 90: Meditate on humanity’s future ...,Spiritual,Meditate on humanity’s future among the stars.,Write a short reflection on your experience.,"115 XP, 20 coins",None
91,Fitness Task 91: Train your body to endure long...,Fitness,Train your body to endure long-duration spaceflight.,Log 30 minutes of endurance training.,"116 XP, 21 coins",None
92,Fitness Task 92: Train your body to endure long...,Fitness,Train your body to endure long-duration spaceflight.,Log 30 minutes of endurance training.,"117 XP, 22 coins",None
93,Survival Task 93: Practice growing food in a con...,Survival,Practice growing food in a controlled environment.,Show proof of a successfully grown plant.,"118 XP, 23 coins",None
94,Education Task 94: Learn about orbital mechanics ...,Education,Learn about orbital mechanics and space travel.,Pass an online quiz on orbital mechanics.,"119 XP, 24 coins",None
95,Education Task 95: Learn about orbital mechanics ...,Education,Learn about orbital mechanics and space travel.,Pass an online quiz on orbital mechanics.,"120 XP, 25 coins",None
96,Governance Task 96: Draft a constitution for the f...,Governance,Draft a constitution for the first human colony beyond Earth.,Share a written draft for peer review.,"121 XP, 26 coins",None
97,Creative Task 97: Design a futuristic city on Ma...,Creative,Design a futuristic city on Mars.,Upload a digital or physical sketch of your design.,"122 XP, 27 coins",None
98,Spiritual Task 98: Meditate on humanity’s future ...,Spiritual,Meditate on humanity’s future among the stars.,Write a short reflection on your experience.,"123 XP, 28 coins",None
99,Social Task 99: Educate others on the benefits...,Social,Educate others on the benefits of space colonization.,Record a short video explaining your vision.,"124 XP, 29 coins",None
100,Creative Task 100: Design a futuristic city on Ma...,Creative,Design a futuristic city on Mars.,Upload a digital or physical sketch of your design.,"125 XP, 20 coins","Exclusive knowledge, priority access to research"
101,Creative Task 101: Design a futuristic city on Ma...,Creative,Design a futuristic city on Mars.,Upload a digital or physical sketch of your design.,"126 XP, 21 coins",None
102,Fitness Task 102: Train your body to endure long...,Fitness,Train your body to endure long-duration spaceflight.,Log 30 minutes of endurance training.,"127 XP, 22 coins",None
103,Governance Task 103: Draft a constitution for the f...,Governance,Draft a constitution for the first human colony beyond Earth.,Share a written draft for peer review.,"128 XP, 23 coins",None
104,Innovation Task 104: Invent a new tool or system to...,Innovation,Invent a new tool or system to improve daily life.,Submit a prototype or concept document.,"129 XP, 24 coins",None
105,Spiritual Task 105: Meditate on humanity’s future ...,Spiritual,Meditate on humanity’s future among the stars.,Write a short reflection on your experience.,"130 XP, 25 coins",None
106,Innovation Task 106: Invent a new tool or system to...,Innovation,Invent a new tool or system to improve daily life.,Submit a prototype or concept document.,"131 XP, 26 coins",None
107,Social Task 107: Educate others on the benefits...,Social,Educate others on the benefits of space colonization.,Record a short video explaining your vision.,"132 XP, 27 coins",None
108,Governance Task 108: Draft a constitution for the f...,Governance,Draft a constitution for the first human colony beyond Earth.,Share a written draft for peer review.,"133 XP, 28 coins",None
109,Education Task 109: Learn about orbital mechanics ...,Education,Learn about orbital mechanics and space travel.,Pass an online quiz on orbital mechanics.,"134 XP, 29 coins",None
110,Engineering Task 110: Build a working model of a clo...,Engineering,Build a working model of a closed-loop life support system.,Submit a video demonstration of your model.,"135 XP, 20 coins",None
111,Engineering Task 111: Build a working model of a clo...,Engineering,Build a working model of a closed-loop life support system.,Submit a video demonstration of your model.,"136 XP, 21 coins",None
112,Spiritual Task 112: Meditate on humanity’s future ...,Spiritual,Meditate on humanity’s future among the stars.,Write a short reflection on your experience.,"137 XP, 22 coins",None
113,Fitness Task 113: Train your body to endure long...,Fitness,Train your body to endure long-duration spaceflight.,Log 30 minutes of endurance training.,"138 XP, 23 coins",None
114,Spiritual Task 114: Meditate on humanity’s future ...,Spiritual,Meditate on humanity’s future among the stars.,Write a short reflection on your experience.,"139 XP, 24 coins",None
115,Fitness Task 115: Train your body to endure long...,Fitness,Train your body to endure long-duration spaceflight.,Log 30 minutes of endurance training.,"140 XP, 25 coins",None
116,Governance Task 116: Draft a constitution for the f...,Governance,Draft a constitution for the first human colony beyond Earth.,Share a written draft for peer review.,"141 XP, 26 coins",None
117,Spiritual Task 117: Meditate on humanity’s future ...,Spiritual,Meditate on humanity’s future among the stars.,Write a short reflection on your experience.,"142 XP, 27 coins",None
118,Engineering Task 118: Build a working model of a clo...,Engineering,Build a working model of a closed-loop life support system.,Submit a video demonstration of your model.,"143 XP, 28 coins",None
119,Engineering Task 119: Build a working model of a clo...,Engineering,Build a working model of a closed-loop life support system.,Submit a video demonstration of your model.,"144 XP, 29 coins",None
120,Spiritual Task 120: Meditate on humanity’s future ...,Spiritual,Meditate on humanity’s future among the stars.,Write a short reflection on your experience.,"145 XP, 20 coins","Exclusive knowledge, priority access to research"
121,Social Task 121: Educate others on the benefits...,Social,Educate others on the benefits of space colonization.,Record a short video explaining your vision.,"146 XP, 21 coins",None
122,Education Task 122: Learn about orbital mechanics ...,Education,Learn about orbital mechanics and space travel.,Pass an online quiz on orbital mechanics.,"147 XP, 22 coins",None
123,Education Task 123: Learn about orbital mechanics ...,Education,Learn about orbital mechanics and space travel.,Pass an online quiz on orbital mechanics.,"148 XP, 23 coins",None
124,Creative Task 124: Design a futuristic city on Ma...,Creative,Design a futuristic city on Mars.,Upload a digital or physical sketch of your design.,"149 XP, 24 coins",None
125,Exploration Task 125: Map out a theoretical interste...,Exploration,Map out a theoretical interstellar trade route.,Submit a visual map with reasoning for trade stops.,"150 XP, 25 coins",None
126,Creative Task 126: Design a futuristic city on Ma...,Creative,Design a futuristic city on Mars.,Upload a digital or physical sketch of your design.,"151 XP, 26 coins",None
127,Governance Task 127: Draft a constitution for the f...,Governance,Draft a constitution for the first human colony beyond Earth.,Share a written draft for peer review.,"152 XP, 27 coins",None
128,Spiritual Task 128: Meditate on humanity’s future ...,Spiritual,Meditate on humanity’s future among the stars.,Write a short reflection on your experience.,"153 XP, 28 coins",None
129,Governance Task 129: Draft a constitution for the f...,Governance,Draft a constitution for the first human colony beyond Earth.,Share a written draft for peer review.,"154 XP, 29 coins",None
130,Fitness Task 130: Train your body to endure long...,Fitness,Train your body to endure long-duration spaceflight.,Log 30 minutes of endurance training.,"155 XP, 20 coins",None
131,Engineering Task 131: Build a working model of a clo...,Engineering,Build a working model of a closed-loop life support system.,Submit a video demonstration of your model.,"156 XP, 21 coins",None
132,Spiritual Task 132: Meditate on humanity’s future ...,Spiritual,Meditate on humanity’s future among the stars.,Write a short reflection on your experience.,"157 XP, 22 coins",None
133,Governance Task 133: Draft a constitution for the f...,Governance,Draft a constitution for the first human colony beyond Earth.,Share a written draft for peer review.,"158 XP, 23 coins",None
134,Fitness Task 134: Train your body to endure long...,Fitness,Train your body to endure long-duration spaceflight.,Log 30 minutes of endurance training.,"159 XP, 24 coins",None
135,Survival Task 135: Practice growing food in a con...,Survival,Practice growing food in a controlled environment.,Show proof of a successfully grown plant.,"160 XP, 25 coins",None
136,Education Task 136: Learn about orbital mechanics ...,Education,Learn about orbital mechanics and space travel.,Pass an online quiz on orbital mechanics.,"161 XP, 26 coins",None
137,Spiritual Task 137: Meditate on humanity’s future ...,Spiritual,Meditate on humanity’s future among the stars.,Write a short reflection on your experience.,"162 XP, 27 coins",None
138,Governance Task 138: Draft a constitution for the f...,Governance,Draft a constitution for the first human colony beyond Earth.,Share a written draft for peer review.,"163 XP, 28 coins",None
139,Exploration Task 139: Map out a theoretical interste...,Exploration,Map out a theoretical interstellar trade route.,Submit a visual map with reasoning for trade stops.,"164 XP, 29 coins",None
140,Social Task 140: Educate others on the benefits...,Social,Educate others on the benefits of space colonization.,Record a short video explaining your vision.,"165 XP, 20 coins","Exclusive knowledge, priority access to research"
141,Spiritual Task 141: Meditate on humanity’s future ...,Spiritual,Meditate on humanity’s future among the stars.,Write a short reflection on your experience.,"166 XP, 21 coins",None
142,Engineering Task 142: Build a working model of a clo...,Engineering,Build a working model of a closed-loop life support system.,Submit a video demonstration of your model.,"167 XP, 22 coins",None
143,Spiritual Task 143: Meditate on humanity’s future ...,Spiritual,Meditate on humanity’s future among the stars.,Write a short reflection on your experience.,"168 XP, 23 coins",None
144,Creative Task 144: Design a futuristic city on Ma...,Creative,Design a futuristic city on Mars.,Upload a digital or physical sketch of your design.,"169 XP, 24 coins",None
145,Social Task 145: Educate others on the benefits...,Social,Educate others on the benefits of space colonization.,Record a short video explaining your vision.,"170 XP, 25 coins",None
146,Fitness Task 146: Train your body to endure long...,Fitness,Train your body to endure long-duration spaceflight.,Log 30 minutes of endurance training.,"171 XP, 26 coins",None
147,Fitness Task 147: Train your body to endure long...,Fitness,Train your body to endure long-duration spaceflight.,Log 30 minutes of endurance training.,"172 XP, 27 coins",None
148,Social Task 148: Educate others on the benefits...,Social,Educate others on the benefits of space colonization.,Record a short video explaining your vision.,"173 XP, 28 coins",None
149,Education Task 149: Learn about orbital mechanics ...,Education,Learn about orbital mechanics and space travel.,Pass an online quiz on orbital mechanics.,"174 XP, 29 coins",None
150,Education Task 150: Learn about orbital mechanics ...,Education,Learn about orbital mechanics and space travel.,Pass an online quiz on orbital mechanics.,"100 XP, 20 coins",None
151,Social Task 151: Educate others on the benefits...,Social,Educate others on the benefits of space colonization.,Record a short video explaining your vision.,"101 XP, 21 coins",None
152,Spiritual Task 152: Meditate on humanity’s future ...,Spiritual,Meditate on humanity’s future among the stars.,Write a short reflection on your experience.,"102 XP, 22 coins",None
153,Engineering Task 153: Build a working model of a clo...,Engineering,Build a working model of a closed-loop life support system.,Submit a video demonstration of your model.,"103 XP, 23 coins",None
154,Education Task 154: Learn about orbital mechanics ...,Education,Learn about orbital mechanics and space travel.,Pass an online quiz on orbital mechanics.,"104 XP, 24 coins",None
155,Creative Task 155: Design a futuristic city on Ma...,Creative,Design a futuristic city on Mars.,Upload a digital or physical sketch of your design.,"105 XP, 25 coins",None
156,Innovation Task 156: Invent a new tool or system to...,Innovation,Invent a new tool or system to improve daily life.,Submit a prototype or concept document.,"106 XP, 26 coins",None
157,Social Task 157: Educate others on the benefits...,Social,Educate others on the benefits of space colonization.,Record a short video explaining your vision.,"107 XP, 27 coins",None
158,Fitness Task 158: Train your body to endure long...,Fitness,Train your body to endure long-duration spaceflight.,Log 30 minutes of endurance training.,"108 XP, 28 coins",None
159,Engineering Task 159: Build a working model of a clo...,Engineering,Build a working model of a closed-loop life support system.,Submit a video demonstration of your model.,"109 XP, 29 coins",None
160,Social Task 160: Educate others on the benefits...,Social,Educate others on the benefits of space colonization.,Record a short video explaining your vision.,"110 XP, 20 coins","Exclusive knowledge, priority access to research"
161,Fitness Task 161: Train your body to endure long...,Fitness,Train your body to endure long-duration spaceflight.,Log 30 minutes of endurance training.,"111 XP, 21 coins",None
162,Innovation Task 162: Invent a new tool or system to...,Innovation,Invent a new tool or system to improve daily life.,Submit a prototype or concept document.,"112 XP, 22 coins",None
163,Spiritual Task 163: Meditate on humanity’s future ...,Spiritual,Meditate on humanity’s future among the stars.,Write a short reflection on your experience.,"113 XP, 23 coins",None
164,Fitness Task 164: Train your body to endure long...,Fitness,Train your body to endure long-duration spaceflight.,Log 30 minutes of endurance training.,"114 XP, 24 coins",None
165,Survival Task 165: Practice growing food in a con...,Survival,Practice growing food in a controlled environment.,Show proof of a successfully grown plant.,"115 XP, 25 coins",None
166,Engineering Task 166: Build a working model of a clo...,Engineering,Build a working model of a closed-loop life support system.,Submit a video demonstration of your model.,"116 XP, 26 coins",None
167,Fitness Task 167: Train your body to endure long...,Fitness,Train your body to endure long-duration spaceflight.,Log 30 minutes of endurance training.,"117 XP, 27 coins",None
168,Spiritual Task 168: Meditate on humanity’s future ...,Spiritual,Meditate on humanity’s future among the stars.,Write a short reflection on your experience.,"118 XP, 28 coins",None
169,Creative Task 169: Design a futuristic city on Ma...,Creative,Design a futuristic city on Mars.,Upload a digital or physical sketch of your design.,"119 XP, 29 coins",None
170,Engineering Task 170: Build a working model of a clo...,Engineering,Build a working model of a closed-loop life support system.,Submit a video demonstration of your model.,"120 XP, 20 coins",None
171,Governance Task 171: Draft a constitution for the f...,Governance,Draft a constitution for the first human colony beyond Earth.,Share a written draft for peer review.,"121 XP, 21 coins",None
172,Creative Task 172: Design a futuristic city on Ma...,Creative,Design a futuristic city on Mars.,Upload a digital or physical sketch of your design.,"122 XP, 22 coins",None
173,Exploration Task 173: Map out a theoretical interste...,Exploration,Map out a theoretical interstellar trade route.,Submit a visual map with reasoning for trade stops.,"123 XP, 23 coins",None
174,Engineering Task 174: Build a working model of a clo...,Engineering,Build a working model of a closed-loop life support system.,Submit a video demonstration of your model.,"124 XP, 24 coins",None
175,Exploration Task 175: Map out a theoretical interste...,Exploration,Map out a theoretical interstellar trade route.,Submit a visual map with reasoning for trade stops.,"125 XP, 25 coins",None
176,Survival Task 176: Practice growing food in a con...,Survival,Practice growing food in a controlled environment.,Show proof of a successfully grown plant.,"126 XP, 26 coins",None
177,Spiritual Task 177: Meditate on humanity’s future ...,Spiritual,Meditate on humanity’s future among the stars.,Write a short reflection on your experience.,"127 XP, 27 coins",None
178,Innovation Task 178: Invent a new tool or system to...,Innovation,Invent a new tool or system to improve daily life.,Submit a prototype or concept document.,"128 XP, 28 coins",None
179,Creative Task 179: Design a futuristic city on Ma...,Creative,Design a futuristic city on Mars.,Upload a digital or physical sketch of your design.,"129 XP, 29 coins",None
180,Education Task 180: Learn about orbital mechanics ...,Education,Learn about orbital mechanics and space travel.,Pass an online quiz on orbital mechanics.,"130 XP, 20 coins","Exclusive knowledge, priority access to research"
181,Social Task 181: Educate others on the benefits...,Social,Educate others on the benefits of space colonization.,Record a short video explaining your vision.,"131 XP, 21 coins",None
182,Governance Task 182: Draft a constitution for the f...,Governance,Draft a constitution for the first human colony beyond Earth.,Share a written draft for peer review.,"132 XP, 22 coins",None
183,Exploration Task 183: Map out a theoretical interste...,Exploration,Map out a theoretical interstellar trade route.,Submit a visual map with reasoning for trade stops.,"133 XP, 23 coins",None
184,Survival Task 184: Practice growing food in a con...,Survival,Practice growing food in a controlled environment.,Show proof of a successfully grown plant.,"134 XP, 24 coins",None
185,Fitness Task 185: Train your body to endure long...,Fitness,Train your body to endure long-duration spaceflight.,Log 30 minutes of endurance training.,"135 XP, 25 coins",None
186,Survival Task 186: Practice growing food in a con...,Survival,Practice growing food in a controlled environment.,Show proof of a successfully grown plant.,"136 XP, 26 coins",None
187,Social Task 187: Educate others on the benefits...,Social,Educate others on the benefits of space colonization.,Record a short video explaining your vision.,"137 XP, 27 coins",None
188,Innovation Task 188: Invent a new tool or system to...,Innovation,Invent a new tool or system to improve daily life.,Submit a prototype or concept document.,"138 XP, 28 coins",None
189,Engineering Task 189: Build a working model of a clo...,Engineering,Build a working model of a closed-loop life support system.,Submit a video demonstration of your model.,"139 XP, 29 coins",None
